index;Nitrogen Dioxide(NO2);Bar Pressure(Bar Pressure);PM 10(RSPM);Temperature(TEMP);Sulfur Dioxide(SO2)
 01/01/2013;;759.32;213.86;8.8;2.95
 01/02/2013;;761.91;257.96;14.34;10.38
 01/03/2013;51.54;759.51;99.26;17.41;1.15
 01/04/2013;49.69;753.97;142.67;28.07;15.32
 01/05/2013;53.53;753.91;426.99;33.84;11.2
 01/06/2013;5.05;757.0;118.1;26.52;8.79
 01/07/2013;20.73;754.77;136.61;7.69;9.89
 01/08/2013;25.31;752.37;118.41;32.48;14.45
 01/09/2013;33.67;764.12;65.73;30.77;12.07
 01/10/2013;44.82;748.4;110.4;30.95;14.25
 01/11/2013;56.74;759.65;272.08;25.63;13.97
 01/12/2013;49.31;761.19;264.99;18.4;37.5
 02/01/2013;;760.59;174.74;7.33;4.85
 02/02/2013;175.98;761.12;254.67;17.11;10.56
 02/03/2013;56.99;759.2;91.38;18.43;3.02
 02/04/2013;72.43;754.67;133.76;29.93;16.33
 02/05/2013;46.8;756.95;606.13;32.58;9.76
 02/06/2013;3.96;756.75;116.47;25.06;7.23
 02/07/2013;19.83;754.7;135.35;17.92;9.7
 02/08/2013;22.11;754.82;113.77;31.63;17.59
 02/09/2013;28.37;760.99;54.8;29.61;7.75
 02/10/2013;23.67;763.74;141.2;31.29;12.64
 02/11/2013;45.22;760.06;338.89;23.21;8.14
 02/12/2013;61.97;761.7;256.18;16.38;33.09
 03/01/2013;;761.56;149.82;7.34;5.16
 03/02/2013;79.69;760.18;147.53;17.67;10.39
 03/03/2013;62.45;758.99;126.49;19.7;1.85
 03/04/2013;;756.36;68.28;28.41;16.18
 03/05/2013;82.69;755.52;183.08;36.87;14.82
 03/06/2013;11.34;753.2;119.97;26.35;7.08
 03/07/2013;26.19;756.02;144.67;29.23;8.34
 03/08/2013;32.31;756.93;123.06;31.1;29.22
 03/09/2013;30.35;758.89;77.01;28.94;9.41
 03/10/2013;26.09;763.24;155.85;30.59;11.83
 03/11/2013;21.11;761.05;591.77;21.65;6.02
 03/12/2013;61.65;759.47;300.15;18.1;55.08
 04/01/2013;;761.02;156.24;6.9;4.65
 04/02/2013;69.36;758.63;154.35;18.3;9.17
 04/03/2013;66.41;758.71;136.49;20.59;2.99
 04/04/2013;44.14;755.67;156.49;28.08;15.13
 04/05/2013;96.82;755.27;205.23;36.4;11.95
 04/06/2013;18.36;756.07;120.92;28.29;9.57
 04/07/2013;23.76;751.89;139.08;43.72;6.09
 04/08/2013;;757.07;;30.53;
 04/09/2013;26.49;759.05;75.76;29.43;19.22
 04/10/2013;32.92;761.75;76.91;26.64;13.58
 04/11/2013;24.56;762.52;128.69;20.7;36.05
 04/12/2013;67.01;760.07;313.12;18.02;61.56
 05/01/2013;;759.93;198.86;6.55;4.54
 05/02/2013;;760.82;54.07;17.31;11.42
 05/03/2013;70.34;759.34;151.86;21.61;3.97
 05/04/2013;37.84;755.46;134.87;32.64;15.17
 05/05/2013;72.84;755.14;169.26;33.8;9.64
 05/06/2013;25.55;755.12;125.21;27.31;6.63
 05/07/2013;20.07;756.05;134.88;67.5;6.6
 05/08/2013;;755.22;;32.57;
 05/09/2013;29.65;758.4;158.6;29.25;10.69
 05/10/2013;24.83;760.34;124.17;29.75;12.11
 05/11/2013;38.04;762.14;50.61;19.15;2.23
 05/12/2013;42.44;759.55;243.47;16.79;22.02
 06/01/2013;;761.34;237.1;6.37;5.06
 06/02/2013;49.99;761.27;61.55;17.0;10.75
 06/03/2013;71.31;759.15;139.46;21.37;
 06/04/2013;40.4;;150.65;;16.19
 06/05/2013;79.69;755.79;178.62;42.63;13.38
 06/06/2013;19.32;755.71;121.81;21.81;5.63
 06/07/2013;18.8;753.46;134.22;67.5;8.06
 06/08/2013;31.33;757.59;138.5;32.87;14.31
 06/09/2013;30.02;759.69;346.35;29.65;6.43
 06/10/2013;31.54;761.12;78.1;30.96;10.92
 06/11/2013;39.88;761.45;80.92;22.2;4.89
 06/12/2013;49.53;757.84;392.46;19.51;68.73
 07/01/2013;;762.19;193.65;6.16;4.41
 07/02/2013;38.15;760.78;93.64;14.46;12.35
 07/03/2013;76.47;758.74;139.0;22.37;4.5
 07/04/2013;36.09;;142.79;;14.66
 07/05/2013;70.86;755.76;166.29;42.2;6.1
 07/06/2013;11.12;761.42;117.01;20.12;8.4
 07/07/2013;24.68;758.82;139.83;67.5;8.99
 07/08/2013;29.92;758.17;116.21;32.83;14.69
 07/09/2013;34.15;761.02;433.71;29.37;9.01
 07/10/2013;31.48;761.99;71.9;31.09;11.81
 07/11/2013;28.24;761.1;163.32;21.37;8.66
 07/12/2013;54.43;758.24;377.78;16.06;61.39
 08/01/2013;;761.81;208.98;7.88;4.43
 08/02/2013;38.0;759.68;103.05;14.16;10.47
 08/03/2013;59.98;758.87;134.0;19.52;6.93
 08/04/2013;40.17;;150.49;;16.69
 08/05/2013;73.18;755.76;169.77;42.2;3.26
 08/06/2013;16.37;760.57;120.6;22.56;9.93
 08/07/2013;23.61;757.57;138.98;67.5;11.91
 08/08/2013;22.27;757.6;236.24;32.82;20.7
 08/09/2013;34.26;762.44;279.42;30.13;3.18
 08/10/2013;34.72;760.59;67.95;31.9;11.52
 08/11/2013;28.22;760.84;174.32;20.79;10.86
 08/12/2013;75.86;757.8;446.62;18.3;95.81
 09/01/2013;;761.59;189.49;10.9;7.46
 09/02/2013;68.88;759.36;115.13;14.62;12.13
 09/03/2013;41.8;;146.16;;7.63
 09/04/2013;50.85;;177.45;;15.76
 09/06/2013;9.31;759.5;115.87;21.84;8.74
 09/07/2013;25.58;756.57;148.26;67.5;7.48
 09/08/2013;21.41;757.51;125.88;32.87;12.21
 09/09/2013;36.95;762.86;180.1;30.3;5.13
 09/10/2013;25.28;762.09;156.11;32.43;11.64
 09/11/2013;27.62;761.57;172.77;20.52;10.55
 09/12/2013;58.32;756.66;367.39;19.24;57.08
 10/01/2013;;759.58;185.63;15.37;10.69
 10/02/2013;102.41;759.53;157.05;15.02;11.92
