index;Nitrogen Dioxide(NO2);Bar Pressure(Bar Pressure);PM 10(RSPM);Temperature(TEMP);Sulfur Dioxide(SO2)
 10/03/2013;37.66;;122.41;;11.2
 10/04/2013;32.6;;107.74;;2.94
 10/06/2013;8.68;759.58;115.9;19.65;10.75
 10/07/2013;25.25;755.68;148.19;67.5;5.38
 10/08/2013;27.83;757.65;149.09;32.34;13.66
 10/09/2013;33.38;760.57;242.32;29.85;10.13
 10/10/2013;40.27;761.93;79.87;33.55;11.08
 10/11/2013;19.13;761.83;159.64;19.97;7.93
 10/12/2013;49.19;757.62;354.58;16.37;49.79
 11/01/2013;;760.2;162.99;14.17;10.88
 11/02/2013;83.06;759.15;164.88;15.69;12.49
 11/03/2013;40.64;;235.12;;11.1
 11/04/2013;35.53;745.71;196.29;34.44;8.55
 11/06/2013;10.67;761.65;117.65;13.85;10.73
 11/07/2013;36.9;757.4;208.85;67.29;16.86
 11/08/2013;27.08;758.72;142.71;32.62;13.79
 11/09/2013;35.67;758.31;152.02;29.47;4.34
 11/10/2013;34.57;761.99;76.61;25.81;12.57
 11/11/2013;16.48;759.66;184.73;19.19;18.1
 11/12/2013;39.9;757.95;312.0;17.27;28.5
 12/01/2013;;760.2;210.44;16.39;13.21
 12/02/2013;63.22;759.66;147.33;15.51;12.54
 12/03/2013;35.51;;257.98;;15.08
 12/04/2013;36.27;757.84;156.24;32.2;15.5
 12/06/2013;6.62;761.5;114.32;15.05;9.02
 12/07/2013;27.48;758.99;67.67;67.5;9.98
 12/08/2013;25.12;758.83;132.69;32.45;13.6
 12/09/2013;35.59;759.7;125.15;29.91;6.43
 12/10/2013;33.8;760.37;76.02;27.97;10.76
 12/11/2013;16.68;759.42;228.77;18.14;19.86
 12/12/2013;14.87;757.58;209.3;24.96;8.64
 13/01/2013;;758.31;259.43;16.47;9.54
 13/02/2013;40.9;759.05;140.47;16.62;11.11
 13/03/2013;64.48;;360.93;;12.31
 13/04/2013;40.63;758.27;156.65;33.08;15.36
 13/05/2013;43.81;758.36;125.71;41.12;7.28
 13/06/2013;7.38;761.43;115.2;13.93;9.75
 13/07/2013;22.64;758.63;3.44;58.3;10.41
 13/08/2013;25.28;757.82;134.92;32.55;17.79
 13/09/2013;31.25;759.46;118.11;30.37;8.05
 13/10/2013;28.81;760.35;76.56;29.26;10.98
 13/11/2013;17.33;760.14;225.55;18.41;20.33
 13/12/2013;19.5;756.36;257.23;19.4;24.08
 14/01/2013;;759.45;237.25;13.36;8.83
 14/02/2013;126.2;756.8;162.58;20.85;18.71
 14/03/2013;23.24;746.2;154.3;26.44;30.68
 14/04/2013;39.66;757.45;58.9;35.66;21.42
 14/05/2013;63.45;757.28;155.18;37.89;8.4
 14/06/2013;14.31;742.08;122.7;10.29;12.27
 14/07/2013;22.54;757.62;2.22;49.49;17.26
 14/08/2013;25.33;757.75;144.03;32.38;10.04
 14/09/2013;26.25;758.44;120.15;31.8;6.26
 14/10/2013;34.51;759.68;90.39;29.11;8.68
 14/11/2013;15.61;760.51;225.54;17.47;20.32
 14/12/2013;19.1;756.7;263.09;16.15;18.42
 15/01/2013;;759.89;176.02;9.65;10.96
 15/02/2013;99.02;755.33;139.28;17.81;12.65
 15/03/2013;26.48;759.13;170.58;26.26;12.92
 15/04/2013;48.35;755.3;108.07;35.14;59.48
 15/05/2013;39.74;756.31;119.61;38.92;9.89
 15/06/2013;3.7;753.21;113.52;15.04;7.82
 15/07/2013;27.51;758.15;42.57;40.92;14.25
 15/08/2013;16.46;758.85;105.5;32.71;15.47
 15/09/2013;22.9;758.48;109.54;33.71;8.89
 15/10/2013;34.18;760.82;97.54;27.66;10.46
 15/11/2013;16.43;761.4;234.02;20.21;25.41
 15/12/2013;18.19;758.34;290.76;18.14;11.92
 16/01/2013;;760.38;222.51;19.44;17.06
 16/02/2013;21.61;752.2;32.9;14.8;10.92
 16/04/2013;55.33;752.76;133.59;35.84;48.84
 16/05/2013;33.53;755.46;110.3;36.88;8.37
 16/06/2013;3.87;749.0;113.82;15.59;9.29
 16/07/2013;31.41;758.72;82.97;32.32;23.59
 16/08/2013;38.81;750.2;104.67;32.46;16.96
 16/09/2013;27.47;758.9;136.4;31.6;7.46
 16/10/2013;34.99;761.27;93.73;27.85;9.2
 16/11/2013;15.99;762.47;234.43;17.1;25.66
 16/12/2013;19.75;758.89;307.77;16.26;17.59
 17/01/2013;;760.2;185.88;16.32;12.15
 17/02/2013;39.99;755.48;49.02;14.31;12.39
 17/04/2013;47.71;747.65;134.13;32.54;13.71
 17/06/2013;1.29;750.16;111.43;8.16;9.04
 17/07/2013;22.4;758.08;109.39;32.49;12.16
 17/08/2013;20.8;757.27;200.05;32.83;22.49
 17/09/2013;25.73;759.31;198.29;30.8;9.89
 17/10/2013;57.24;761.47;89.44;29.31;9.27
 17/11/2013;14.44;762.52;221.12;17.51;17.67
 17/12/2013;25.76;758.03;279.23;16.24;19.47
 18/01/2013;;759.32;50.56;13.33;12.63
 18/02/2013;41.58;758.24;83.1;14.42;10.7
 18/03/2013;65.0;753.58;161.63;24.96;7.8
 18/04/2013;62.82;757.89;274.1;33.88;5.5
 18/05/2013;62.52;755.8;294.74;44.57;8.64
 18/06/2013;8.22;751.75;117.97;9.31;9.05
 18/07/2013;25.16;754.34;166.64;32.01;18.04
 18/08/2013;28.57;757.14;238.69;32.87;9.73
 18/09/2013;24.78;759.32;204.78;31.34;13.25
 18/10/2013;42.5;760.74;81.75;29.12;8.23
 18/11/2013;11.61;762.15;201.75;20.67;12.34
 18/12/2013;44.88;756.82;299.85;16.06;36.31
 19/01/2013;;763.92;115.44;12.78;12.95
 19/02/2013;40.09;758.28;93.96;15.78;10.64
 19/03/2013;70.51;753.75;155.34;23.83;20.31
 19/04/2013;77.12;758.29;238.64;33.02;9.08
 19/05/2013;50.72;755.91;229.17;42.66;8.19
 19/06/2013;24.55;753.43;145.67;19.4;9.61
 19/07/2013;20.72;753.09;151.55;31.91;13.33
 19/08/2013;2.7;745.35;323.21;32.25;17.75
 19/09/2013;22.91;758.97;172.2;31.92;9.12
 19/10/2013;34.67;759.94;95.19;26.75;8.95
 19/11/2013;13.38;760.9;202.55;18.78;18.53
 19/12/2013;25.01;756.8;232.9;16.17;36.36
 20/01/2013;;763.26;131.04;11.6;13.09
 20/02/2013;66.54;759.39;118.67;16.06;11.88
 20/03/2013;63.22;754.65;203.59;22.71;19.15
 20/04/2013;89.25;757.99;359.18;33.61;4.54
 20/05/2013;46.29;756.2;212.73;42.51;9.37
 20/06/2013;46.34;753.14;249.91;30.74;6.28
 20/07/2013;26.35;756.57;77.51;32.86;21.18
 20/08/2013;4.92;754.48;390.52;32.65;21.14
 20/09/2013;29.36;758.97;120.63;31.15;10.61
 20/10/2013;37.47;759.65;102.22;26.04;8.62
 20/11/2013;15.08;759.07;213.64;18.48;25.18
 20/12/2013;16.19;759.18;194.27;14.24;31.36
 21/01/2013;;763.69;126.36;10.72;11.91
 21/02/2013;40.26;758.55;110.15;18.09;10.85
 21/03/2013;41.5;754.39;148.65;26.21;18.43
 21/04/2013;28.78;760.5;249.17;30.72;2.62
 21/05/2013;42.9;755.89;178.44;38.26;11.23
 21/06/2013;50.68;751.77;160.3;33.24;3.85
 21/07/2013;29.03;758.68;165.73;29.55;22.04
 21/08/2013;15.71;754.73;347.33;32.27;8.22
 21/09/2013;18.17;759.14;103.92;28.6;12.54
 21/10/2013;44.27;754.47;111.01;25.26;8.38
 21/11/2013;19.26;758.53;223.89;20.21;31.34
 21/12/2013;18.47;759.46;202.21;14.53;22.91
 22/01/2013;;764.05;;10.95;13.75
 22/02/2013;35.53;759.09;118.63;20.44;14.06
 22/03/2013;39.92;752.26;153.27;24.83;21.98
 22/04/2013;36.42;762.9;182.22;29.6;2.12
 22/05/2013;35.94;755.78;174.66;36.94;11.29
 22/06/2013;31.33;753.33;141.81;26.81;27.67
 22/07/2013;26.57;758.5;132.87;32.54;11.75
 22/08/2013;26.42;757.61;296.1;32.63;5.05
 22/09/2013;26.51;758.51;98.82;31.23;12.56
 22/10/2013;70.4;759.57;105.99;26.9;6.64
 22/11/2013;17.83;760.63;219.63;21.47;28.78
 22/12/2013;15.15;760.83;201.07;14.23;35.67
 23/01/2013;;763.77;185.56;11.93;11.83
 23/02/2013;26.14;758.52;83.31;18.02;11.43
 23/03/2013;58.18;752.93;162.14;27.2;17.59
 23/04/2013;50.37;763.09;148.04;33.61;4.83
 23/05/2013;33.09;754.6;155.55;34.65;7.97
 23/06/2013;31.4;754.92;161.08;22.36;7.03
 23/07/2013;33.06;760.3;113.49;32.09;17.3
 23/08/2013;32.11;762.23;399.73;32.23;3.43
 23/09/2013;34.28;758.0;104.11;32.65;12.31
 23/10/2013;63.26;761.16;79.98;27.28;6.5
 23/11/2013;17.16;760.28;214.51;18.73;25.7
 23/12/2013;11.53;762.5;190.43;13.54;17.41
 24/01/2013;;763.46;234.06;12.39;8.92
 24/02/2013;29.37;761.02;47.38;16.5;9.32
 24/03/2013;35.18;754.81;151.28;25.79;15.77
 24/04/2013;72.63;762.82;207.91;35.06;7.29
 24/05/2013;29.48;754.07;148.44;34.04;6.18
 24/06/2013;23.51;754.8;148.03;20.0;7.54
 24/07/2013;25.22;759.52;150.96;32.35;14.58
 24/08/2013;30.67;762.25;253.06;31.27;11.42
 24/09/2013;30.75;758.93;102.79;33.26;10.97
 24/10/2013;57.56;761.13;83.4;26.55;7.55
 24/11/2013;12.64;760.39;195.39;19.71;14.23
 24/12/2013;9.94;763.45;190.55;11.81;37.25
 25/01/2013;;763.15;190.21;12.81;8.9
 25/02/2013;42.04;760.68;96.34;17.56;2.04
 25/03/2013;28.39;755.56;87.6;20.16;17.33
 25/04/2013;66.25;761.84;310.49;34.74;11.04
 25/05/2013;23.75;755.04;141.05;34.31;9.47
 25/06/2013;21.32;756.67;143.34;11.12;11.09
 25/07/2013;22.21;757.65;108.91;32.74;16.61
 25/08/2013;35.68;761.23;272.26;32.48;7.67
 25/09/2013;31.54;760.47;109.04;30.48;13.52
 25/10/2013;57.38;759.78;109.6;25.12;4.82
 25/11/2013;10.73;759.37;191.65;21.38;11.99
 25/12/2013;9.37;762.88;194.42;11.4;38.19
 26/01/2013;;762.74;146.36;12.91;8.28
 26/02/2013;114.6;758.92;111.99;19.43;3.55
 26/03/2013;31.23;753.59;92.11;21.71;16.82
 26/04/2013;48.47;761.91;222.21;34.23;10.58
 26/05/2013;29.32;755.48;152.15;31.8;8.54
 26/06/2013;5.38;756.82;123.33;5.32;2.93
 26/07/2013;24.61;750.26;65.39;31.93;21.61
 26/08/2013;24.49;760.43;277.71;31.64;10.54
 26/09/2013;26.09;761.87;76.34;30.06;12.85
 26/10/2013;55.1;759.02;101.4;25.1;5.0
 26/11/2013;21.33;758.32;188.96;22.14;11.72
 26/12/2013;8.59;762.25;197.42;10.93;31.21
 27/01/2013;;762.06;159.52;13.22;8.5
 27/02/2013;82.89;757.76;116.43;21.26;5.16
 27/03/2013;32.51;753.85;150.56;20.1;17.87
 27/04/2013;37.07;761.55;504.1;35.36;10.84
 27/05/2013;33.49;755.76;158.97;31.0;8.43
 27/06/2013;14.74;755.3;126.68;2.91;4.84
 27/07/2013;20.22;752.37;105.53;32.37;11.74
 27/08/2013;40.99;761.23;184.43;31.51;10.42
 27/09/2013;18.29;761.85;50.29;30.41;10.87
 27/10/2013;60.47;757.84;114.08;24.17;3.79
 27/11/2013;56.9;760.0;277.81;19.93;56.59
 27/12/2013;10.12;761.33;228.2;12.07;36.23
 28/01/2013;;761.62;166.4;13.35;9.96
 28/02/2013;72.81;759.67;144.01;19.66;3.62
 28/03/2013;30.88;753.72;105.3;23.83;15.94
 28/04/2013;42.86;760.19;323.3;33.28;13.59
 28/05/2013;42.93;756.15;167.63;31.03;9.86
 28/06/2013;22.36;754.95;132.75;4.0;7.41
 28/07/2013;23.21;753.4;161.56;31.08;13.26
 28/08/2013;20.95;763.47;144.44;31.7;11.04
 28/09/2013;18.71;;122.93;;12.7
 28/10/2013;78.44;757.2;104.11;24.11;4.6
 28/11/2013;64.67;762.27;299.02;19.28;54.51
 28/12/2013;8.4;761.51;269.05;11.29;20.28
 29/01/2013;;760.79;210.54;14.04;8.68
 29/03/2013;38.7;752.96;93.34;24.43;15.94
 29/04/2013;42.5;759.81;562.4;35.19;18.6
 29/05/2013;46.78;756.02;169.53;32.37;11.64
 29/06/2013;21.32;754.6;144.28;31.73;7.92
 29/07/2013;20.63;754.15;117.27;32.11;12.99
 29/09/2013;26.77;;214.44;;11.66
 29/10/2013;75.26;758.07;125.63;23.18;8.1
 29/11/2013;62.53;762.18;290.4;18.86;50.2
 29/12/2013;9.42;761.33;277.04;9.62;22.55
 30/01/2013;;761.5;238.27;14.7;9.42
 30/03/2013;36.43;752.97;135.58;24.85;16.19
 30/04/2013;53.99;759.91;341.27;36.46;37.56
 30/05/2013;34.03;755.48;149.46;34.87;10.91
 30/06/2013;23.69;755.88;144.25;25.54;7.85
 30/07/2013;20.31;753.69;126.78;32.44;12.61
 30/08/2013;50.54;763.28;31.13;32.25;18.64
 30/09/2013;21.38;;117.28;;11.84
 30/10/2013;88.9;759.34;237.62;24.57;9.37
 30/11/2013;51.23;760.99;265.89;18.26;37.94
 30/12/2013;9.3;760.8;259.01;10.98;33.0
 31/01/2013;;761.92;334.25;13.83;9.78
 31/03/2013;37.22;753.71;137.15;26.32;15.18
 31/05/2013;36.86;755.02;154.39;36.1;10.75
 31/07/2013;19.6;753.65;113.71;32.72;16.65
 31/08/2013;32.66;763.73;39.04;31.59;7.44
 31/10/2013;66.07;759.6;226.62;26.18;9.95
 31/12/2013;8.44;762.12;235.61;14.25;28.71
