index;Nitrogen Dioxide(NO2);PM 2.5(PM2.5);Solar Radiation(SR);Temperature(TEMP);Sulfur Dioxide(SO2)
 12/02/2016;23.83;148.97;;18.42;4.22
 12/03/2016;15.17;60.06;;22.94;8.5
 12/04/2016;11.69;109.86;;28.03;12.25
 12/05/2016;18.57;183.81;;34.07;11.15
 12/07/2016;13.37;65.17;78.54;28.89;6.05
 12/08/2016;9.68;51.17;84.56;28.06;4.66
 12/09/2016;36.58;60.09;223.05;29.68;7.09
 12/10/2016;27.92;101.82;166.83;29.37;8.04
 12/11/2016;82.61;191.91;90.99;20.02;
 12/12/2016;21.8;162.40;150.62;21.89;12.19
 13/01/2016;15.54;152.10;;16.82;6.14
 13/02/2016;17.65;115.17;;16.85;1.89
 13/03/2016;10.47;59.36;;22.95;6.84
 13/04/2016;16.86;101.04;;29.88;14.56
 13/05/2016;16.06;116.87;;35.13;13.18
 13/07/2016;13.53;1,033.76;216.85;30.13;5.66
 13/08/2016;16.94;49.51;215.5;30.46;4.48
 13/09/2016;36.52;61.34;218.14;30.19;7.01
 13/10/2016;18.12;100.47;175.31;28.78;10.69
 13/12/2016;21.12;164.00;134.96;21.99;12.71
 14/01/2016;9.43;115.68;;14.53;5.95
 14/02/2016;;;;12.96;
 14/03/2016;16.16;68.75;;21.84;13.0
 14/04/2016;18.9;142.39;;30.95;16.95
 14/05/2016;18.28;99.55;;34.97;7.83
 14/07/2016;20.13;78.46;235.08;29.41;5.0
 14/09/2016;37.64;60.94;147.68;29.6;5.96
 14/10/2016;18.81;101.46;162.42;29.03;6.21
 14/11/2016;42.54;150.85;104.43;25.18;6.94
 14/12/2016;21.04;118.81;145.38;20.07;9.79
 15/01/2016;9.45;246.80;;12.38;4.6
 15/02/2016;19.75;131.26;;18.67;2.09
 15/03/2016;19.03;63.14;;21.86;13.74
 15/04/2016;24.44;130.99;;31.9;19.23
 15/05/2016;17.17;113.18;;36.38;3.84
 15/06/2016;4.22;128.38;292.14;36.65;6.66
 15/07/2016;12.62;63.15;261.16;29.7;4.73
 15/09/2016;39.62;80.08;204.18;30.45;11.91
 15/10/2016;23.59;131.58;154.98;26.78;3.89
 15/11/2016;51.98;176.76;97.35;21.43;7.08
 15/12/2016;19.93;139.14;144.64;19.75;10.58
 16/01/2016;14.93;184.24;;12.65;5.14
 16/02/2016;20.13;152.83;;16.48;2.55
 16/03/2016;13.63;69.79;;21.57;7.97
 16/04/2016;21.0;144.67;;33.5;19.73
 16/05/2016;19.48;117.39;;34.48;13.22
 16/06/2016;8.6;105.54;306.46;31.22;4.65
 16/07/2016;6.49;322.59;118.67;27.31;4.86
 16/08/2016;24.34;77.07;139.25;36.11;5.78
 16/09/2016;46.9;69.89;208.11;30.33;8.1
 16/10/2016;20.6;112.69;157.8;27.47;7.47
 16/11/2016;45.27;180.27;97.79;20.42;7.33
 16/12/2016;21.8;140.95;144.57;18.81;10.09
 17/01/2016;25.54;194.88;;12.84;6.19
 17/02/2016;19.7;164.80;;14.14;3.82
 17/03/2016;19.3;69.78;;24.03;6.62
 17/04/2016;22.68;234.53;;34.98;21.23
 17/06/2016;11.25;93.55;346.32;31.91;3.77
 17/07/2016;6.17;126.15;173.66;27.78;8.24
 17/08/2016;20.87;68.60;156.86;29.06;14.79
 17/09/2016;34.85;85.43;174.06;30.16;10.59
 17/10/2016;25.27;139.37;146.78;27.15;6.93
 17/11/2016;43.21;162.32;104.14;20.79;7.87
 17/12/2016;21.52;165.64;130.1;18.77;10.19
 18/01/2016;27.95;250.26;;11.92;5.54
 18/02/2016;19.3;209.40;;17.83;1.78
 18/03/2016;20.55;75.67;;25.2;10.57
 18/04/2016;18.25;192.35;;32.98;10.93
 18/06/2016;14.05;125.63;359.48;33.48;5.44
 18/07/2016;9.11;58.36;296.6;28.76;6.34
 18/08/2016;48.61;67.98;119.45;29.03;6.89
 18/09/2016;37.52;80.80;185.59;30.55;7.56
 18/10/2016;27.33;125.77;153.97;26.6;9.84
 18/11/2016;35.29;192.93;100.5;19.86;7.73
 18/12/2016;20.4;176.85;137.6;17.97;10.99
 19/01/2016;24.1;275.93;;10.81;7.36
 19/02/2016;16.99;207.46;;20.45;2.51
 19/03/2016;28.16;92.41;;25.47;8.97
 19/04/2016;23.37;121.82;;32.5;4.94
 19/06/2016;17.11;316.27;342.6;32.71;4.64
 19/07/2016;17.31;65.00;98.05;30.27;7.79
 19/08/2016;22.45;71.16;97.12;31.41;8.27
 19/09/2016;39.2;64.89;238.06;30.98;8.76
 19/10/2016;25.19;120.50;153.82;26.77;10.58
 19/11/2016;31.11;178.78;103.48;19.79;8.81
 19/12/2016;19.66;173.54;131.34;18.52;10.13
 20/01/2016;21.17;379.37;;10.2;6.95
 20/02/2016;14.65;156.47;;21.88;2.94
 20/03/2016;16.89;93.57;;25.25;11.7
 20/04/2016;15.48;188.48;;31.96;5.7
 20/06/2016;19.78;455.16;201.25;30.36;3.93
 20/07/2016;9.81;124.90;414.8;32.22;7.68
 20/08/2016;20.15;56.98;111.86;31.27;6.7
 20/10/2016;19.44;122.74;154.71;26.98;11.01
 20/11/2016;34.62;143.26;102.05;20.94;7.94
 20/12/2016;16.48;132.73;124.7;20.2;10.08
 21/01/2016;20.35;162.76;;10.58;4.3
 21/02/2016;8.33;95.92;;19.11;2.08
 21/03/2016;11.36;77.85;;24.25;10.28
 21/04/2016;13.48;119.77;;32.25;11.8
 21/06/2016;18.76;188.55;355.35;30.04;7.08
 21/07/2016;8.78;75.24;433.8;32.64;6.42
 21/08/2016;21.66;42.74;133.45;30.12;9.46
 21/10/2016;11.7;114.77;153.29;27.0;4.0
 21/11/2016;28.51;169.80;140.28;21.8;8.48
 21/12/2016;17.06;116.30;98.69;20.65;9.63
 22/01/2016;38.44;255.58;;10.59;5.49
 22/02/2016;12.74;117.26;;18.84;2.02
 22/03/2016;10.41;78.85;;22.23;4.83
 22/04/2016;14.82;154.68;;31.72;3.75
 22/06/2016;16.86;341.75;331.76;30.38;5.08
 22/07/2016;14.96;108.20;13.73;31.53;7.14
 22/08/2016;21.47;44.98;117.61;29.94;7.3
 22/10/2016;24.95;129.86;146.74;27.48;17.82
 22/11/2016;44.29;109.99;101.51;21.58;7.75
 22/12/2016;20.49;135.63;93.87;19.55;9.0
 23/01/2016;31.75;227.55;;13.03;4.22
 23/02/2016;14.92;106.96;;19.4;2.74
 23/03/2016;11.05;74.51;;21.41;9.32
 23/04/2016;17.92;102.28;;29.86;4.31
