index;Nitrogen Dioxide(NO2);PM 2.5(PM2.5);Solar Radiation(SR);Temperature(TEMP);Sulfur Dioxide(SO2)
 11/01/2017;41.00;98.38;137.42;14.81;9.58
 11/02/2017;36.51;104.55;266.00;18.69;8.50
 11/03/2017;18.83;;268.54;22.38;7.32
 11/04/2017;30.55;77.21;296.60;33.15;11.79
 11/05/2017;20.32;75.94;246.11;36.55;4.98
 11/06/2017;25.69;64.68;199.96;36.32;5.68
 11/07/2017;NA;62.19;109.34;42.02;2.77
 11/08/2017;14.83;56.21;40.73;29.69;11.59
 11/09/2017;17.46;85.87;107.88;33.46;6.77
 11/10/2017;44.84;140.64;82.57;32.21;6.56
 11/11/2017;59.76;309.42;75.10;24.13;12.13
 11/12/2017;46.60;196.67;57.08;22.35;19.49
 12/01/2017;41.24;141.33;161.45;15.05;8.13
 12/02/2017;39.09;136.01;234.93;18.71;10.79
 12/03/2017;22.27;;351.94;21.79;7.84
 12/04/2017;34.47;99.01;283.02;33.93;12.68
 12/05/2017;18.28;148.73;202.85;36.75;5.01
 12/06/2017;29.91;91.48;182.64;36.38;20.36
 12/07/2017;56.66;46.97;141.91;23.62;3.01
 12/09/2017;16.31;62.66;109.94;33.12;7.07
 12/10/2017;44.01;162.49;77.28;31.87;7.62
 12/11/2017;56.18;414.47;76.62;24.17;10.67
 12/12/2017;31.90;103.55;85.25;22.18;3.37
 13/01/2017;42.82;179.66;165.15;13.99;8.32
 13/02/2017;38.35;106.40;255.03;18.13;8.93
 13/03/2017;16.35;;306.12;21.50;8.33
 13/04/2017;42.25;131.53;264.01;34.24;9.32
 13/05/2017;26.38;94.33;225.54;37.56;6.08
 13/06/2017;47.55;166.34;222.99;40.78;4.64
 13/07/2017;56.93;54.24;140.75;28.30;3.63
 13/09/2017;16.65;87.67;110.16;33.52;7.86
 13/10/2017;39.10;162.23;54.41;31.10;9.97
 13/11/2017;66.44;364.53;72.61;24.35;11.22
 13/12/2017;27.80;132.61;35.85;21.05;5.10
 14/01/2017;42.53;208.00;154.39;17.07;8.85
 14/02/2017;37.64;119.48;254.05;15.52;9.38
 14/03/2017;19.77;;252.41;23.09;9.66
 14/04/2017;54.35;124.66;472.45;35.93;9.23
 14/05/2017;20.52;87.69;231.65;38.57;5.81
 14/06/2017;28.79;112.48;169.26;37.53;7.22
 14/07/2017;56.81;54.90;105.40;29.51;3.69
 14/08/2017;18.69;78.40;163.25;33.29;10.64
 14/09/2017;15.99;80.19;75.57;33.68;9.98
 14/10/2017;41.53;150.12;83.33;31.81;7.41
 14/11/2017;56.62;227.54;56.33;25.12;10.71
 14/12/2017;27.92;117.21;82.50;20.82;8.45
 15/01/2017;42.52;161.37;130.67;19.25;7.45
 15/02/2017;37.57;113.03;259.71;22.47;9.35
 15/03/2017;20.49;;228.62;24.90;13.30
 15/04/2017;53.39;141.44;712.89;36.90;10.76
 15/05/2017;20.79;75.52;275.79;38.85;7.04
 15/06/2017;39.27;169.28;189.58;41.78;10.93
 15/07/2017;56.67;58.93;163.93;29.59;12.06
 15/08/2017;47.54;74.27;129.33;33.92;8.98
 15/09/2017;15.37;69.54;117.86;33.74;6.82
 15/10/2017;37.90;151.93;84.08;31.53;10.10
 15/11/2017;58.56;195.24;51.16;25.05;11.11
 15/12/2017;24.93;126.98;95.66;19.41;5.37
 16/01/2017;36.38;153.07;116.19;17.12;4.83
 16/02/2017;38.46;115.99;203.42;21.11;7.23
 16/03/2017;21.46;;198.13;26.24;11.70
 16/04/2017;39.87;117.90;713.10;36.32;11.03
 16/05/2017;14.52;105.33;228.04;36.88;4.86
 16/06/2017;51.07;83.77;176.10;22.81;15.76
 16/07/2017;57.05;58.26;94.65;33.47;11.91
 16/08/2017;33.19;67.95;132.82;32.77;5.80
 16/09/2017;25.61;53.98;43.94;32.20;5.39
 16/10/2017;44.28;177.85;81.50;31.64;7.20
 16/11/2017;54.52;218.40;49.28;24.18;15.40
 16/12/2017;32.39;100.05;57.61;22.26;7.52
 17/01/2017;30.08;121.50;119.67;12.74;6.59
